id_poi;poi;poi_api;source;verdict;score
2;L'Orée des Près - Gite familial;Aucun;Aucune;Inconnu;0
3;Festival de danse : Plein Phare Out;Aucun;Aucune;Inconnu;0
4;Location de vélos - Bureau d'Information Touristique de Jumièges;Bureau d'Information Touristique de Jumièges;AccèsLibre;Oui;96
5;[Exposition temporaire] Jacques-Émile Blanche et Celia Saxton Noble : une amitié anglaise;Aucun;Aucune;Inconnu;0
7;Ekla ! Concert live pour livre pop-up animé par Compagnie Turnsteak;Aucun;Aucune;Inconnu;0
10;Musée Pierre Corneille - Maison des Champs;Musée Pierre Corneille;OSM;Partiel;127
11;Pub Janine - La Grande École;La Grande Ecole;OSM;Inconnu;97
12;Le Donjon de Rouen;Le Donjon de Rouen;OSM;Inconnu;98
13;Rando Yourte;Rando-Yourte;AccèsLibre;Inconnu;111
14;Hôtel Les Arcades;Hotel Restaurant Les Arcades;AccèsLibre;Non;130
15;Domaine Le Clos des Fontaines;Domaine Le Clos des Fontaines;AccèsLibre;Oui;129
16;Visit and Run;Aucun;Aucune;Inconnu;0
17;Les ateliers créatifs du Croco : Fleurs crépon;Aucun;Aucune;Inconnu;0
18;Cirque-Théâtre d'Elbeuf;Cirque-Théâtre d'Elbeuf;AccèsLibre;Oui;114
19;Le Rive Gauche;Le Rive Gauche;AccèsLibre;Oui;93
20;Atelier créatif : Cadre mural végétal;Aucun;Aucune;Inconnu;0
21;La Belle de Beauval;Aucun;Aucune;Inconnu;0
22;Laurie Guerrero - Fresques et team buildings;Aucun;Aucune;Inconnu;0
23;Gîtes de France® - Le Manoir de Tessy;Le Manoir de Tessy;OSM;Inconnu;107
24;Foire Agricole de Bacqueville en Caux;AL Optique - Bacqueville-en-Caux;AccèsLibre;Inconnu;94
25;La Chaumière;Aucun;Aucune;Inconnu;0
26;Fête du goût et de l'artisanat;Aucun;Aucune;Inconnu;0
27;Guérin Location;Aucun;Aucune;Inconnu;0
28;[Brocante];Aucun;Aucune;Inconnu;0
29;Musée Industriel Vivant Expotec 103 - Moulin Saint-Gilles;Aucun;Aucune;Inconnu;0
30;L'Afloria - Head Spa;Aucun;Aucune;Inconnu;0
31;[Création immersive] Au jardin des potiniers;Aucun;Aucune;Inconnu;0
32;Randonnée apéro My French Rhum;Aucun;Aucune;Inconnu;0
