id_poi_datatourisme;match_score;name;siret;site_internet;contact_url;entree_plain_pied
1811;91.5;Le  Chêne;;;;False
2039;93.3;Mairie - Allouville-Bellefosse;;;;True
3368;113.7;Happy City;;https://happy-city.fr/rouen/;;True
3184;91.5;Domaine des Hellandes;;https://www.leshellandes.com/;https://www.leshellandes.com/contact.html;True
2876;113.2;Bière Brotonia;;http://www.brotonia.com/;;
3956;130.0;Restaurant La Presqu'île;;https://lapresquile9.wixsite.com/lapresquile;;True
5541;129.6;Bière Brotonia;;http://www.brotonia.com/;;
959;93.5;pharmacie Argueil;;https://www.doctolib.fr/pharmacie/argueil/pharmacie-vuilhorgne;;False
1141;93.5;pharmacie Argueil;;https://www.doctolib.fr/pharmacie/argueil/pharmacie-vuilhorgne;;False
469;87.9;Auto Ecole De LOU AUMALE;;;;
1212;85.6;Hôtel restaurant O Deux Aumale;;https://www.odeuxaumale.fr/;;True
2059;85.0;Aumale Optique;;http://aumaleoptique.com/;;True
2227;129.1;Logis Hotel la Villa des Houx;;https://www.logishotels.com/fr/hotel/-2963?partid=1535;;True
2255;129.1;Logis Hotel la Villa des Houx;;https://www.logishotels.com/fr/hotel/-2963?partid=1535;;True
3723;95.6;Mairie - Auppegard;;http://www.auppegard.fr;;True
1814;85.6;Soleil Cauchois;;http://www.soleil-cauchois.fr/;;True
606;103.8;Mairie de Auzouville-sur-Ry;;;;False
1813;92.0;Auberge de la Mère Duval;;;;True
24;94.3;AL Optique - Bacqueville-en-Caux;;http://pro.pagesjaunes.fr/optique-hepineuze;;
2263;105.8;Mairie - Bacqueville-en-Caux;;http://bacqueville-en-caux.fr;;
817;106.6;Campanile Rouen Nord - Barentin;;;;True
2144;88.6;Campanile Rouen Nord - Barentin;;;;True
4920;128.8;Campanile Rouen Nord - Barentin;;;;True
6635;112.4;Centre Hospitalier de l'Austreberthe;;https://www.ch-austreberthe.fr/;;True
2604;112.7;Gîte du Coq à l'Ane;;http://www.lecoqalane.fr;https://www.lecoqalane.fr/contact;
2647;112.6;Gîte du Coq à l'Ane;;http://www.lecoqalane.fr;https://www.lecoqalane.fr/contact;
4779;86.6;Camping Ferme de la Hetraie;;;;True
6059;85.7;Chateau de Bertreville;;https://www.chateaubertreville.com/;;
471;89.7;Mairie - Blangy-sur-Bresle;;http://www.blangysurbresle.fr;;
2874;128.9;Musée du verre;;https://www.blangysurbresle.fr/vivre-a-blangy/le-centre-culturel-du-manoir-de-fontaine/;;True
5532;92.8;Office de Tourisme Communautaire Aumale/Blangy;;http://www.tourisme-aumale-blangy.fr/;;True
6721;103.3;Mairie - Blangy-sur-Bresle;;http://www.blangysurbresle.fr;;
1717;129.8;SEINE EN VUE;;;;False
1911;97.1;Hôtel Première Classe Rouen Nord - Bois Guillaume;;https://www.premiereclasse.com/fr/hotels/premiere-classe-rouen-nord-bois-guillaume/?utm_source=google&utm_medium=maps&utm_content=FRA22151&utm_campaign=Premi%C3%A8re%20Classe;;True
3627;129.3;Best Western Plus Hotel le Conquerant;;https://leconquerantrouen.com/;https://leconquerantrouen.com/contact/;True
5594;93.1;CHU Hôpitaux de Bois-Guillaume;;https://www.chu-rouen.fr/;;True
1787;91.0;La Quesne, Ferme et Fromagerie;;http://fermedelaquesne.fr/;;
859;129.1;Hôtel Relais d'Étretat;;;;True
3665;129.9;Le Carnot;;http://lecarnot.fr/;;True
4688;129.8;Le Carnot;;http://lecarnot.fr/;;True
3289;87.5;Mairie - Bolleville;;http://www.bolleville76.fr;;
3583;112.2;Gite du Bois Beuriot;;https://www.giteduboisdebeuriot.e-monsite.com;;True
4953;98.6;Gite du Bois Beuriot;;https://www.giteduboisdebeuriot.e-monsite.com;;True
5378;112.1;Gite du Bois Beuriot;;https://www.giteduboisdebeuriot.e-monsite.com;;True
3952;98.5;Mairie - Bosc-le-Hard;;http://www.mairiedebosclehard.eu;;False
1511;93.9;Mairie - Bourville;;;;
4247;86.6;Mairie - Bourville;;;;
679;86.8;Mairie - Bracquetuit;;;;
2288;93.4;Mairie - Bracquetuit;;;;
1583;89.2;Mairie - Bretteville-Saint-Laurent;;;;False
2307;113.4;Ecomusee de la Pomme et du Cidre;;https://ecomuseeducidre.fr/;;
3651;113.4;Ecomusee de la Pomme et du Cidre;;https://ecomuseeducidre.fr/;;
3794;110.9;Ecomusee de la Pomme et du Cidre;;https://ecomuseeducidre.fr/;;
5621;92.7;Mairie de Bretteville-du-Grand-Caux;;;;False
1906;95.5;Office de tourisme Normandie Caux Vexin - Bureau d'Information Touristique de Buchy;;https://www.normandie-caux-vexin.com/;;False
2021;101.6;Mairie - Bénouville;;;;
5513;86.8;Mairie de Cailleville;;;;True
6694;129.1;FERME DES MARRONNIERS;;;;True
663;109.6;Camping Le Clos des Charmilles;;;;True
3628;91.2;Piscine de la Vallée;;http://www.piscinedelavallee.com/;;True
3789;114.6;Salaisons des Roches Blanches (SA);;https://www.roches-blanches.fr/;;True
3884;97.5;Office de Tourisme de Cany Barville;;https://cote-albatre-tourisme.fr/;;True
4702;87.8;Office de Tourisme de Cany Barville;;https://cote-albatre-tourisme.fr/;;True
5698;113.4;La Brasserie du Phare;;https://www.facebook.com/Brasserieduphare/;;
5023;108.6;brasserie normande septantesix Caudebec les Elbeuf;;https://www.brasserieseptantesix.fr/;;True
4205;102.1;Mairie - Cideville;;;;
1102;129.6;Les P'tites Pommes;;;;True
1862;88.5;Le Clos de la Beauce;;;;True
1993;129.2;La Popote;;http://www.restaurantlapopote.fr/;;True
2109;96.6;During Pastry - La Forêt Des Macarons;;;;True
3770;110.8;Parc de Clères;;https://www.parcdecleres.fr/;https://www.parcdecleres.fr/contact/;True
3875;110.9;Parc de Clères;;https://www.parcdecleres.fr/;https://www.parcdecleres.fr/contact/;True
4097;85.4;During Pastry - La Forêt Des Macarons;;;;True
6006;93.9;La Grange Des Marettes;;;;
5424;88.9;Hôtel Restaurant Le Seino-Marin Rouen Cléon Elboeuf;;http://www.hotel-restaurant-cleon.com/;;True
74;95.6;The Riv 'Yères;;;;False
1520;96.0;ATIMERIA Spa de la Vieille Ferme;;http://www.hotel-spa-en-normandie.com/;;
3256;115.6;Camping Les Mouettes;;https://www.camping-lesmouettes.fr/;https://www.camping-lesmouettes.fr/nous-contacter/;
3998;129.8;Les Galets;;https://www.hotel-les-galets.com/;;True
