id_poi;Nom;Categorie;Telephone;Email;Source
125;Le Bièvredent;activity;;;non trouvé
137;Hôtel de Bourgtheroulde ***** - Autograph Collection;accommodation;0235145050;info@hotelsparouen.com;OSM (gps)
177;Journées Européennes du Patrimoine 2026;event;;;non trouvé
189;Des Glycines à la Porte Noire;activity;;;non trouvé
193;Bleu Horizon;accommodation;;;non trouvé
202;Mess My Mind 2026;event;;;non trouvé
217;La Chevrette;activity;0235096679;;OSM (gps)
225;Forges-en-Courses;event;0232899420;accueil@forgesleseaux.fr;OSM (gps)
226;Les clos masures;activity;;;non trouvé
229;Une ville, des quartiers : Le quartier Saint-Sever;event;;;non trouvé
239;La Roulée;activity;;;non trouvé
257;Hôtel Rouen Alba;accommodation;0235074138;ce.0760093n@ac-normandie.fr;OSM (gps)
259;Grumesnil;activity;0235906705;mairie.grumesnil@wanadoo.fr;OSM (gps)
320;Le Petit Gîte d'Angélique;accommodation;;;non trouvé
329;La Plaine du Moulin;activity;;;non trouvé
349;Le Vallon;activity;;;non trouvé
404;Les chemins de forrières;activity;;;non trouvé
409;Atelier petit miroir rond;event;;;non trouvé
430;Exposition - Enfants et alcools : normes, éducation, prévention;event;;;non trouvé
449;Hôtel Sofhôtel;accommodation;;;non trouvé
450;Week-end « Pause en couple » à l’écrin de l’Andelle;event;;;non trouvé
495;Gîte Peintres Impressionnistes Normandie;accommodation;;contact@conciergeriedesfalaises.fr;Web (DuckDuckGo)
498;Concours de Pêche en mer;event;;;non trouvé
531;Journées archéologiques régionales de Normandie 2026;event;0235709726;rouen@immo-de-france.fr;OSM (gps)
545;Savon D'ICI;shop;;;non trouvé
648;Chez le roi des Canaries;activity;;;non trouvé
677;Hôtel Mercure Rouen Centre Champ de Mars;accommodation;0235524232;h1273@accor.com;OSM (gps)
708;Les clos masures;activity;;;non trouvé
774;Les journées piquantes - À la découverte de capsicum;event;;;non trouvé
803;Une ville, des quartiers : De la rue Saint-Patrice aux Bons-Enfants;event;;;non trouvé
814;24 heures de la voie romaine;event;;;non trouvé
890;La Route de Pompon;activity;;;non trouvé
919;Atelier tambour fleuri;event;;;non trouvé
929;Le Grand Eawy;activity;;;non trouvé
963;Atelier Grand miroir fleuri;event;;;non trouvé
980;Sur les pas des ramendeuses;activity;;;non trouvé
992;Exposition : Héritage en dialogue;event;;;non trouvé
1011;"Le Coin des Aromates - Chambre ""Hysope""";accommodation;0642234975;;Web (DuckDuckGo)
1024;La Foire Saint Romain;event;;;non trouvé
1060;Sortie ornithologique - Les hirondelles et martinets;event;;;non trouvé
1179;La Route de Lyons;activity;;;non trouvé
1186;Médiation EAZA  Spéciale Zone humide;event;;parcdecleres@seinemaritime.fr;Web (DuckDuckGo)
1197;Ça picore ! - Atelier jeune public;event;0235140195;atelierstromain@yahoo.fr;OSM (gps)
1217;Le Donjon de Rouen;activity;0235981150;rouen@gares-sncf.com;OSM (gps)
1243;Hôtel La Petite Rade;accommodation;;;non trouvé
1294;Domaine Duclos-Fougeray;shop;;;non trouvé
1358;Criel en selle;shop;0235505120;mairie@criel-sur-mer.fr;Web (DuckDuckGo)
1380;Terre du Sucre;activity;;;non trouvé
1404;Salon de la Croisière et du Voyage - 8ème édition;event;0277676293;lebistrotdesgrandsbassins@gmail.com;OSM (gps)
1428;Hôtel et Spa Vent d'Ouest;accommodation;0235425069;contact@art-hotel.fr;OSM (gps)
1434;Les Hamouhoques;activity;;;non trouvé
1472;Dessine moi un mouton;activity;;;non trouvé
1496;Exposition des ateliers AMCB;event;;;non trouvé
1511;Sur les pas de Bourvil;activity;0235974322;mairie-sg-bourville@wanadoo.fr;OSM (gps)
1512;Les Jardins d'Étretat;nature;0235270123;mairie@ville-etretat.fr;OSM (gps)
1545;Atelier Grand miroir fleuri;event;;;non trouvé
1563;Une ville, des quartiers : De Saint-Ouen aux Pénitents;event;;;non trouvé
1567;Une ville, des quartiers : Autour du Jardin des Plantes;event;;;non trouvé
1577;Cathédrale de Lumière;event;0235896719;contact@hotel-de-la-cathedrale.fr;OSM (gps)
1584;Les Médiévales de Rouen;event;0235887055;cafederouen76000@gmail.com;OSM (gps)
1613;Gîte Bord de Mer Normandie;accommodation;;;non trouvé
1627;Chevauchée en Pays d'Auge;activity;;;non trouvé
1632;Quai de la Cale, 10;accommodation;0235826394;gitedieppepollet@gmail.com;Web (DuckDuckGo)
1641;Villa 17;accommodation;0616922058;;Web (DuckDuckGo)
1646;Le Caud Soleil;activity;;;non trouvé
1721;Sur la Rive du Dun;activity;0235121010;;Web (DuckDuckGo)
1768;B&B Rouen Centre Rive Gauche;accommodation;0235632727;h1107@accor.com;OSM (gps)
1776;Beauville La Cité;activity;;;non trouvé
1777;La Porte Verte;activity;;;non trouvé
1810;"Le Coin des Aromates - Chambre ""Mélisse""";accommodation;0642234975;;Web (DuckDuckGo)
