id_poi;Nom;Categorie;Ville;CP;Rue;Verdict_initial;Adresse_GPS;lat_old;lon_old;lat_new;lon_new;adresse_geocodee;strategie_utilisee;correction_status
;Vers la Forêt d'Eu à VTT;activity;bouelles;76270;;OK Ville+CP;impasse du frais agneau, bouelles, dieppe, seine-maritime, normandie, france métropolitaine, 76270, france;49.704962;1.4788275;49.704962;1.4788275;;;PAS_TROUVE
;De Rouen à Forges-les-Eaux;activity;rouen;76000;place saint paul;PARFAIT Ville+CP+Rue;67 f, place saint-paul, quartier du mont gargan, rouen, seine-maritime, normandie, france métropolitaine, 76000, france;49.4332945;1.10618979;49.4332945;1.10618979;;;✅✅CONSERVE_PARFAIT
;L'Orée des Près - Gite familial;accommodation;ouville-la-rivière;76860;chemin des forrières;PARFAIT Ville+CP+Rue;chemin des forrières, tous-les-mesnils, ouville-la-rivière, dieppe, seine-maritime, normandie, france métropolitaine, 76860, france;49.8753083;0.98187158;49.8753083;0.98187158;;;✅✅CONSERVE_PARFAIT
;Festival de danse : Plein Phare Out;event;le havre;76600;;OK Ville+CP;3, rue othon friesz, porte océane, les gobelins, le havre, seine-maritime, normandie, france métropolitaine, 76600, france;49.49359;0.10097;49.49359;0.10097;;;PAS_TROUVE
;Location de vélos - Bureau d'Information Touristique de Jumièges;shop;jumièges;76480;rue guillaume le conquérant;PARFAIT Ville+CP+Rue;427, rue guillaume le conquérant, jumièges, rouen, seine-maritime, normandie, france métropolitaine, 76480, france;49.4346353;0.8207907;49.4346353;0.8207907;;;✅✅CONSERVE_PARFAIT
;[Exposition temporaire] Jacques-Émile Blanche et Celia Saxton Noble : une amitié anglaise;event;offranville;76550;/ parc du colombier, 453 rue louis loucheur;OK Ville+CP;mini golf municipal, rue louis loucheur, le bout de la ville, le ris, offranville, dieppe, seine-maritime, normandie, france métropolitaine, 76550, france;49.8727897;1.0438285;49.8727897;1.0438285;;;PAS_TROUVE
;De Yainville à Jumièges;activity;yainville;76480;;OK Ville+CP;rue sous le val, yainville, rouen, seine-maritime, normandie, france métropolitaine, 76480, france;49.4522949;0.83200023;49.4522949;0.83200023;;;PAS_TROUVE
;Ekla ! Concert live pour livre pop-up animé par Compagnie Turnsteak;event;mont-saint-aignan;76130;rue nicolas poussin;PARFAIT Ville+CP+Rue;11, rue nicolas poussin, parc de la risle, mont-saint-aignan, rouen, seine-maritime, normandie, france métropolitaine, 76130, france;49.46313;1.07078;49.46313;1.07078;;;✅✅CONSERVE_PARFAIT
;Silleron et Iclon à VTT;activity;angiens;76740;;OK Ville+CP;résidence le clos saint-pierre, angiens, dieppe, seine-maritime, normandie, france métropolitaine, 76740, france;49.829923;0.790955;49.829923;0.790955;;;PAS_TROUVE
;Animation nature pour les tout-petits;event;montivilliers;76290;25 rue du nord;PARFAIT Ville+CP+Rue;25, rue du nord, les lombards, montivilliers, le havre, seine-maritime, normandie, france métropolitaine, 76290, france;49.554264;0.181841;49.554264;0.181841;;;✅✅CONSERVE_PARFAIT
;Musée Pierre Corneille - Maison des Champs;culture;petit-couronne;76650;502 rue pierre corneille;PARFAIT Ville+CP+Rue;musée pierre corneille, 502, rue pierre corneille, petit-couronne, rouen, seine-maritime, normandie, france métropolitaine, 76650, france;49.3896909;1.02115777;49.3896909;1.02115777;;;✅✅CONSERVE_PARFAIT
;Pub Janine - La Grande École;food;le havre;76600;6 rue gustave lennier;PARFAIT Ville+CP+Rue;la grande ecole, 6, rue gustave lennier, notre dame, le havre, seine-maritime, normandie, france métropolitaine, 76600, france;49.4882739;0.1084304;49.4882739;0.1084304;;;✅✅CONSERVE_PARFAIT
;Le Donjon de Rouen;culture;rouen;76000;rue du donjon;PARFAIT Ville+CP+Rue;51_ tour jeanne d'arc - donjon, rue du donjon, vieux-marché-cathédrale, quartier vieux-marché cathédrale, rouen, seine-maritime, normandie, france métropolitaine, 76000, france;49.4464099;1.09444078;49.4464099;1.09444078;;;✅✅CONSERVE_PARFAIT
;Rando Yourte;accommodation;paluel;76450;1484 route de saint valery;OK Ville+CP;10, rue raoul dufy, paluel, dieppe, seine-maritime, normandie, france métropolitaine, 76450, france;49.8492521;0.62329263;49.84849.848399;0.623548399;0.623548;1484, Route de Saint-Valéry, Paluel, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76450, France;adresse_seule;✅CORRIGE
;Hôtel Les Arcades;accommodation;dieppe;76200;1 et 3 arcades de la bourse;PARFAIT Ville+CP+Rue;1, arcades de la bourse, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.9267667;1.079382;49.9267667;1.079382;;;✅✅CONSERVE_PARFAIT
;Domaine Le Clos des Fontaines;accommodation;jumièges;76480;191 rue des fontaines;PARFAIT Ville+CP+Rue;191, rue des fontaines, jumièges, rouen, seine-maritime, normandie, france métropolitaine, 76480, france;49.4340365;0.8182253;49.4340365;0.8182253;;;✅✅CONSERVE_PARFAIT
;Visit and Run;event;forges-les-eaux;76440;;OK Ville+CP;mairie de forges-les-eaux, 37, place brévière, la hêtraie, forges-les-eaux, dieppe, seine-maritime, normandie, france métropolitaine, 76440, france;49.613311;1.545886;49.613311;1.545886;;;PAS_TROUVE
;Les ateliers créatifs du Croco : Fleurs crépon;event;val-de-scie;76720;6 place de la république;OK Ville+CP;1, rue narcisse dufour, auffay, val-de-scie, dieppe, seine-maritime, normandie, france métropolitaine, 76720, france;49.7176358;1.0993315;49.7174954;1.0994866;Place de la République, Auffay, Val-de-Scie, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76720, France;adresse_seule;✅CORRIGE
;Cirque-Théâtre d'Elbeuf;culture;elbeuf;76500;2 rue augustin henry;PARFAIT Ville+CP+Rue;2, rue augustin henry, le puchot, elbeuf, rouen, seine-maritime, normandie, france métropolitaine, 76500, france;49.2907524;1.01117056;49.2907524;1.01117056;;;✅✅CONSERVE_PARFAIT
;Le Rive Gauche;activity;saint-étienne-du-rouvray;76800;20 avenue de l'abbé;OK Ville+CP;103, avenue olivier goubert, saint-étienne-du-rouvray, rouen, seine-maritime, normandie, france métropolitaine, 76800, france;49.3803992;1.10120474;49.3803992;1.10120474;;;PAS_TROUVE
;Atelier créatif : Cadre mural végétal;event;le havre;76620;76 rue du fort;OK Ville+CP;rue du fort, sanvic, le havre, seine-maritime, normandie, france métropolitaine, 76620, france;49.5037784;0.0942485;49.5020956;0.0927079;Rue du Fort, Sanvic, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76620, France;adresse_seule;✅CORRIGE
;La Belle de Beauval;shop;beauval-en-caux;76890;bosc renoult hameau;OK Ville+CP;impasse des manoirs, beauval-en-caux, dieppe, seine-maritime, normandie, france métropolitaine, 76890, france;49.721716;1.02033655;49.721716;1.02033655;;;PAS_TROUVE
;Laurie Guerrero - Fresques et team buildings;other;étretat;76790;place maurice guillard;PARFAIT Ville+CP+Rue;place maurice guillard, le grand val, étretat, le havre, seine-maritime, normandie, france métropolitaine, 76790, france;49.7074851;0.2051629;49.7074851;0.2051629;;;✅✅CONSERVE_PARFAIT
;Gîtes de France® - Le Manoir de Tessy;accommodation;ouville-la-rivière;76860;d123 direction ambrumesnil;OK Ville+CP;route du tessy, ouville-la-rivière, dieppe, seine-maritime, normandie, france métropolitaine, 76860, france;49.8622666;0.99303056;49.8622666;0.99303056;;;PAS_TROUVE
;Foire Agricole de Bacqueville en Caux;event;bacqueville-en-caux;76730;place du général de gaulle;PARFAIT Ville+CP+Rue;place du général de gaulle, bacqueville-en-caux, dieppe, seine-maritime, normandie, france métropolitaine, 76730, france;49.7863094;0.99904944;49.7863094;0.99904944;;;✅✅CONSERVE_PARFAIT
;La Chaumière;accommodation;incheville;76117;1 bis rue claude debussy;OK Ville+CP;rue claude debussy, incheville, dieppe, seine-maritime, normandie, france métropolitaine, 76117, france;50.0167768;1.5031608;50.0160322;1.5012146;Rue Claude Debussy, Incheville, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76117, France;adresse_seule;✅CORRIGE
