id_poi;nom;nom_osm;score_fiabilite;Heure_Ouverture;Categorie
1;De Rouen à Forges-les-Eaux;Aucun;0;Inconnu;activity
4;Location de vélos - Bureau d'Information Touristique de Jumièges;Aucun;0;Inconnu;shop
6;De Yainville à Jumièges;Aucun;0;Inconnu;activity
10;Musée Pierre Corneille - Maison des Champs;Aucun;0;Inconnu;culture
12;Le Donjon de Rouen;Aucun;0;Inconnu;culture
13;Rando Yourte;Aucun;0;Inconnu;accommodation
14;Hôtel Les Arcades;Aucun;0;Inconnu;accommodation
15;Domaine Le Clos des Fontaines;Aucun;0;Inconnu;accommodation
18;Cirque-Théâtre d'Elbeuf;Aucun;0;Inconnu;culture
19;Le Rive Gauche;Le Rive Gauche;92;Tu-Fr 13:00-17:30;activity
21;La Belle de Beauval;Aucun;0;Inconnu;shop
25;La Chaumière;Aucun;0;Inconnu;accommodation
27;Guérin Location;Aucun;0;Inconnu;shop
29;Musée Industriel Vivant Expotec 103 - Moulin Saint-Gilles;Aucun;0;Inconnu;culture
33;Aux portes d'Yvetot;Aucun;0;Inconnu;activity
35;Musée du Tissage Charles Denis;Aucun;0;Inconnu;culture
37;Valleuse des Grandes-Dalles;Aucun;0;Inconnu;nature
40;La Grillade;Aucun;0;Inconnu;food
45;Aître Saint-Maclou;Aître Saint-Maclou;90;09:00-19:00;culture
47;Gîtes de France® - Auleclairlogis;Aucun;0;Inconnu;accommodation
52;Hôtel Les Initiés;Les Initiés;99;"Mo-Fr 07:30-19:30; Sa 07:30-20:00";accommodation
64;Sur la Piste des Comtes d'Evreux;Aucun;0;Inconnu;activity
66;Plage-Baignade Saint-Valery-en-Caux;Aucun;0;Inconnu;activity
67;Bienvenue chez M. Goubert;Aucun;0;Inconnu;accommodation
69;Mon P'tit resto;Aucun;0;Inconnu;food
71;Pôle de santé libéral et ambulatoire Gournay en Bray;Aucun;0;Inconnu;shop
72;App'art 2 et App'art 3;Aucun;0;Inconnu;accommodation
73;Mme TARLEE Catherine;Aucun;0;Inconnu;accommodation
74;La Riv'Yères;Aucun;0;Inconnu;accommodation
79;Plage-Baignade Saint-Aubin-sur-Mer;Aucun;0;Inconnu;activity
81;Montigny;Aucun;0;Inconnu;activity
83;Maison des forêts Darnétal;Aucun;0;Inconnu;nature
84;Maître Jean;Aucun;0;Inconnu;activity
85;Le Camp de César;Aucun;0;Inconnu;activity
87;Gratte-Panche;Aucun;0;Inconnu;activity
99;Gîtes de France® - La Petite Maison;Aucun;0;Inconnu;accommodation
107;Centre hospitalier du Belvédère;Aucun;0;Inconnu;shop
110;La Jolie Fécampoise;Aucun;0;Inconnu;accommodation
