id_poi;nom;categorie;types;description_analyse;public_cible
0;Vers la Forêt d'Eu à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Envie d'une demi journée en extérieur, entre sport et grand air ? Alors venez compléter ce circuit et traverser le Pays Neufchâtelois jusqu'à la Forêt d'Eu. Admirez les superbes paysages de la Boutonnière du Pays de Bray. Revenez vers votre point de départ par l'Avenue Verte London-Paris sans manque;Adultes, Sportifs
1;De Rouen à Forges-les-Eaux;activity;olo:OrderedList, PointOfInterest, RoadTour, Tour;Une jolie boucle pour joindre le Pays de Bray depuis Rouen. Jardins, châteaux et beaux points de vue au programme. Une jolie boucle pour joindre le Pays de Bray depuis Rouen. Jardins, châteaux et beaux points de vue au programme.;Adultes, Familles
6;De Yainville à Jumièges;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Ce parcours vous fera découvrir les liens historiques qui relient les communes de Yainville et de Jumièges. Ce parcours vous fera découvrir les liens historiques qui relient les communes de Yainville et de Jumièges.;Adultes, Familles, Randonneurs
8;Silleron et Iclon à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;nan nan;Adultes, Sportifs
19;Le Rive Gauche;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace, Theater;Situé à proximité de Rouen, Le Rive Gauche accueille de nombreux, ainsi que des spectacles de danse et des pièces de théâtre. Le Rive Gauche est un centre culturel, labellisé par l'État, scène conventionnée. Plus de 50 chorégraphes ont été... Situé à proximité de Rouen, Le Rive Gauche accueille de n;Adultes, Familles
30;L'Afloria - Head Spa;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Massage bien-être d'origine japonaise dédié au cuir chevelu, aux cheveux et à la détente globale. Des techniques de massage profond et souvent des rituels relaxants à base d'eau, de vapeur et d'aromathérapie. Le Head Spa vise à apaiser le stress,... Massage bien-être d'origine japonaise dédié au cui;Adultes
33;Aux portes d'Yvetot;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Randonnée à travers champs et forêt (certaines parties de l’itinéraire sont plus difficiles – zone humide). Randonnée à travers champs et forêt (certaines parties de l’itinéraire sont plus difficiles – zone humide).;Adultes, Familles, Randonneurs
44;Jardin des Damville;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Créé et enrichi depuis plus de 35 ans par un couple d'artistes céramistes et jardiniers, le jardin des DAMVILLE est à la fois un espace paysager et un lieu de création. Sculptures, architectures végétales, bassins, topiaires et céramiques s’y... Créé et enrichi depuis plus de 35 ans par un couple d';Adultes, Familles
59;Tennis Etretat Cap de Caux;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace, TennisComplex;Court en location. Stage de tennis pendant les vacances scolaires. Cours pendant les périodes scolaires. Cours en individuel toute l'année. Organisation de tournois. Court en location. Stage de tennis pendant les vacances scolaires. Cours pendant les périodes scolaires. Cours en individuel toute l'a;Adultes, Enfants
61;Yvetot Normandie Tourisme;activity;schema:TouristInformationCenter, LocalTouristOffice, PlaceOfInterest, PointOfInterest, TouristInformationCenter;nan Yvetot Normandie Tourisme vous reçoit et vous conseille dans votre découverte du territoire de la Communauté de Communes Yvetot Normandie et de la Seine-Maritime. Il met également à votre disposition un large éventail de documentation touristique que vous pourrez retrouver et télécharger sur son;Adultes, Familles
64;Sur la Piste des Comtes d'Evreux;activity;olo:OrderedList, HorseTour, PointOfInterest, Tour;Une boucle de randonnée équestre qui permet de découvrir les richesses touristiques et patrimoniales de la Vallée de Seine : châteaux, manoirs et autres édifices religieux remarquables.Cette balade d'une vingtaine de kilomètres emmène les randonneurs à la découverte de magnifiques panoramas tant sur;Adultes, Enfants, Familles, Randonneurs
66;Plage-Baignade Saint-Valery-en-Caux;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Le port de pêche s’enfonce au cœur de la ville qui vit au rythme des marées. Le port de plaisance, plus en retrait , vous offre une vue sur les rangées de voiliers et autres bateaux. La plage se découvre lors d'une promenade à pied, le long de la... Le port de pêche s’enfonce au cœur de la ville qui;Adultes, Enfants, Familles
79;Plage-Baignade Saint-Aubin-sur-Mer;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;A l’embouchure du Dun, profitez, à marée basse de la plus grande plage de sable de la Côte d’Albâtre. Les pêcheurs animent le front de mer avec la mise à l’eau ou le retour des « doris » (bateaux de pêche traditionnels). Les planches à voile y... A l’embouchure du Dun, profitez, à marée basse de la ;Adolescents, Adultes, Enfants, Familles
81;Montigny;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Idéale pour une balade en famille, cette boucle rurale de 6,5 km n’est pas prête de vous décevoir ! Un voyage au cœur de la vallée de la Scie, entre le vieux bois de Montigny et les champs typiques du Pays de Caux, où le temps est comme suspendu. Vous ne pourrez qu’être séduit par cette belle randon;Adultes, Familles, Randonneurs
84;Maître Jean;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Le départ du circuit s'effectue à l'aire de jeux du Poteau Maître Jean, lieu de détente en famille où ont été installés de nombreux équipements : jeux d'équilibre et d'escalade, tables et bancs de pique-nique, boulodrome...Cette boucle vous fera emprunter des sentes forestières ainsi qu'un chemin ru;Adolescents, Adultes, Familles, Randonneurs
85;Le Camp de César;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Un circuit sur les traces d'un oppidum de l'époque gallo-romaine Un circuit sur les traces d'un oppidum de l'époque gallo-romaine;Adultes, Familles, Randonneurs
87;Gratte-Panche;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Cette boucle emprunte les sentiers des deux versants de la Vallée. Présence d'un moulin à eau à Sept-Meules, celui-ci faisait partie des sept moulins qui ont donné son nom au village. À Cuverville-sur-Yères, ruines d'un château du XIIIe siècle, dont il ne reste que la porte. La maison située à côté ;Adultes, Familles, Randonneurs
89;Circuit du Courval;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Cette boucle de randonnée vous permettra notamment de découvrir les traces laissées par l'activité verrière sur le territoire. Vous découvrirez par exemple l'unité historique de production et la verrerie Pochet du Courval, qui donne son nom au circuit. La Forêt d'Eu est indivise et gérée par l'ONF (;Adultes, Familles, Randonneurs
103;La Plaine de Sonimare à cheval;activity;olo:OrderedList, HorseTour, PointOfInterest, Tour;Balade en pays de Caux entre champs, plaine, mares, petits villages, hameaux et clos-masures. Balade en pays de Caux entre champs, plaine, mares, petits villages, hameaux et clos-masures.;Adultes, Enfants, Familles, Randonneurs
